id,title,description,availability,condition,price,link,image_link,brand,inventory,product_type
000039,Anime · Calco #39,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/39,https://epicalcos.com/.netlify/images?url=/stickers/anime/39.webp&fm=jpg&w=600,EPICALCOS,50,Anime
000040,Anime · Calco #40,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/40,https://epicalcos.com/.netlify/images?url=/stickers/anime/40.webp&fm=jpg&w=600,EPICALCOS,50,Anime
000041,Anime · Calco #41,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/41,https://epicalcos.com/.netlify/images?url=/stickers/anime/41.webp&fm=jpg&w=600,EPICALCOS,50,Anime
000042,Anime · Calco #42,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/42,https://epicalcos.com/.netlify/images?url=/stickers/anime/42.webp&fm=jpg&w=600,EPICALCOS,50,Anime
000043,Anime · Calco #43,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/43,https://epicalcos.com/.netlify/images?url=/stickers/anime/43.webp&fm=jpg&w=600,EPICALCOS,50,Anime
000044,Anime · Calco #44,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/44,https://epicalcos.com/.netlify/images?url=/stickers/anime/44.webp&fm=jpg&w=600,EPICALCOS,50,Anime
000045,Anime · Calco #45,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/45,https://epicalcos.com/.netlify/images?url=/stickers/anime/45.webp&fm=jpg&w=600,EPICALCOS,50,Anime
000046,Anime · Calco #46,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/46,https://epicalcos.com/.netlify/images?url=/stickers/anime/46.webp&fm=jpg&w=600,EPICALCOS,50,Anime
000047,Anime · Calco #47,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/47,https://epicalcos.com/.netlify/images?url=/stickers/anime/47.webp&fm=jpg&w=600,EPICALCOS,50,Anime
000048,Anime · Calco #48,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/48,https://epicalcos.com/.netlify/images?url=/stickers/anime/48.webp&fm=jpg&w=600,EPICALCOS,50,Anime
000049,Anime · Calco #49,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/49,https://epicalcos.com/.netlify/images?url=/stickers/anime/49.webp&fm=jpg&w=600,EPICALCOS,50,Anime
000050,Anime · Calco #50,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/50,https://epicalcos.com/.netlify/images?url=/stickers/anime/50.webp&fm=jpg&w=600,EPICALCOS,50,Anime
000051,Anime · Calco #51,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/51,https://epicalcos.com/.netlify/images?url=/stickers/anime/51.webp&fm=jpg&w=600,EPICALCOS,50,Anime
000052,Anime · Calco #52,"Calco premium de Anime. Vinilo resistente al agua y al sol, disponible en 4, 6 y 9 cm. Hecho en Rosario, envíos a todo el país.",in stock,new,1600.00 ARS,https://epicalcos.com/producto/anime/52,https://epicalcos.com/.netlify/images?url=/stickers/anime/52.webp&fm=jpg&w=600,EPICALCOS,50,Anime
